author_id,article_id
1620784,105563
303620,105564
1323047,105564
648201,105564
1308193,105564
588415,105565
800832,105565
1110181,105566
165223,105566
443163,105566
283900,105567
524733,105567
1601260,105568
1358069,105568
244602,105569
1251089,105569
481308,105570
543051,105571
1170605,105571
134551,105571
535511,105571
535511,105572
1170605,105572
1335096,105572
667831,105572
543051,105572
134551,105572
1265399,105572
275155,105572
1529789,105573
1220436,105574
41757,105574
235290,105574
1686268,105574
134534,105575
1138989,105576
1421805,105576
1012855,105576
1358703,105577
547814,105577
934414,105578
848730,105579
971933,105579
1095620,105579
1107234,105580
173902,105580
1650448,105581
1093593,105581
876970,105582
193424,105582
456570,105583
1122521,105584
1017882,105584
943274,105584
552823,105585
723085,105586
1706310,105586
94479,105586
59614,105588
1135531,105588
1182851,105588
523664,105588
670692,105590
1303830,105590
723085,105590
291788,105592
458318,105592
1603238,105592
515377,105593
221694,105594
943274,105594
1502905,105595
840058,105595
42844,105595
943274,105595
36107,105597
274334,105597
1115577,105597
947311,105597
911793,105598
856058,105598
362025,105598
131925,105598
1154275,105598
89075,105600
1659024,105601
1635788,105601
1269224,105603
1657562,105603
580997,105603
251132,105604
1520850,105604
273625,105604
1591127,105605
1148289,105607
949666,105608
501678,105609
335554,105610
144874,105610
1005575,105610
354848,105611
1220180,105611
369200,105611
480154,105612
1260662,105615
1481110,105615
560795,105615
1117506,105615
1208602,105617
910238,105617
256377,105618
1419340,105618
1419317,105618
1080797,105618
99183,105618
11241,105618
1489662,105618
921078,105622
756618,105622
1351785,105622
1313906,105623
355536,105625
251236,105625
949179,105627
1187107,105628
883242,105628
1015376,105628
1453582,105639
922362,105639
1154201,105639
1253538,105640
547812,105641
1401308,105641
596745,105642
92005,105642
1338754,105642
1557520,105645
1336590,105645
1080075,105649
887264,105649
420936,105651
1123047,105651
552664,105652
1446628,105653
1619653,105654
1021652,105654
819162,105654
500519,105654
487270,105656
174719,105656
381353,105658
2588,105659
476222,105659
635331,105661
1372834,105661
494653,105663
770144,105664
631384,105664
1710547,105664
674,105664
112053,105666
555531,105667
545096,105668
1014019,105668
643415,105670
1136624,105672
1669597,105672
1202384,105672
294939,105674
122419,105674
285793,105674
883308,105674
1427269,105676
360779,105677
25634,105677
1699523,105679
1695710,105679
66922,105679
628758,105680
112053,105680
224633,105682
973203,105682
1283632,105684
547814,105684
1503661,105685
1338689,105685
1446628,105687
1350224,105687
239032,105689
932771,105689
